"","Ind_ID","GENDER","Car_Owner","Propert_Owner","CHILDREN","Annual_income","Type_Income","EDUCATION","Marital_status","Housing_type","Employed_days","Mobile_phone","Work_Phone","Phone","EMAIL_ID","Family_Members","label","Birthday_date","age","Employed"
"29",5009754,"F","Y","N",0,315000,"Commercial associate","Higher education","Married","House / apartment",-586,1,1,1,0,2,1,1986-10-09,37,"y"
"30",5009790,"F","N","N",0,198000,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,1,0,1,0,1963-08-26,60,"n"
"31",5009791,"F","N","N",0,198000,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,1,0,1,0,1963-08-26,60,"n"
"32",5009798,"F","N","N",0,198000,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,1,0,1,0,1963-08-26,60,"n"
"33",5009821,"F","Y","N",0,99000,"Working","Secondary / secondary special","Married","House / apartment",-5457,1,0,1,0,2,0,1983-02-21,40,"y"
"34",5009845,"M","Y","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-130,1,1,0,0,2,0,1980-05-09,43,"y"
"35",5009894,"F","N","N",0,180000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,1,1963-04-16,60,"n"
"36",5009908,"M","Y","N",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-3661,1,0,0,0,2,0,1971-07-17,52,"y"
"37",5009918,"F","N","Y",2,99000,"Commercial associate","Higher education","Married","House / apartment",-433,1,0,1,0,4,0,1988-12-22,34,"y"
"38",5009941,"F","N","Y",2,157500,"Working","Secondary / secondary special","Married","House / apartment",-2351,1,0,0,0,4,0,1994-07-26,29,"y"
"39",5009980,"F","Y","Y",0,180000,"State servant","Secondary / secondary special","Married","House / apartment",-3873,1,0,0,0,2,0,1967-05-15,56,"y"
"40",5010010,"F","N","Y",1,112500,"State servant","Incomplete higher","Civil marriage","House / apartment",-3570,1,0,1,0,3,0,1993-12-22,29,"y"
"41",5010025,"F","N","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-2321,1,0,0,0,2,0,1966-12-28,56,"y"
"42",5010032,"M","Y","Y",0,85500,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,1,0,2,0,1963-04-29,60,"n"
"43",5010078,"M","Y","N",2,157500,"Working","Secondary / secondary special","Married","Municipal apartment",-1135,1,0,0,0,4,0,1989-08-13,34,"y"
"44",5010089,"F","N","N",0,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-1682,1,0,0,0,2,0,1995-09-05,28,"y"
"45",5010172,"F","N","Y",0,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-464,1,0,0,0,2,0,1965-07-28,58,"y"
"46",5010185,"M","N","N",1,247500,"Working","Secondary / secondary special","Single / not married","House / apartment",-6583,1,0,1,0,2,0,1977-11-25,45,"y"
"47",5010202,"M","Y","Y",0,135000,"Working","Lower secondary","Married","With parents",-1866,1,0,0,1,2,0,1996-07-24,27,"y"
"48",5010203,"M","Y","Y",0,135000,"Working","Lower secondary","Married","With parents",-1866,1,0,0,1,2,0,1996-07-24,27,"y"
"49",5010218,"F","Y","Y",1,90000,"State servant","Secondary / secondary special","Married","House / apartment",-8044,1,0,0,0,3,0,1975-11-21,48,"y"
"50",5010225,"F","Y","Y",1,90000,"State servant","Secondary / secondary special","Married","House / apartment",-8044,1,0,0,0,3,0,1975-11-21,48,"y"
"51",5010226,"F","Y","Y",1,90000,"State servant","Secondary / secondary special","Married","House / apartment",-8044,1,0,0,0,3,0,1975-11-21,48,"y"
"52",5010238,"M","Y","Y",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-4331,1,0,0,0,2,0,1978-09-11,45,"y"
"53",5010303,"F","N","Y",0,189000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-6218,1,1,1,0,2,0,1968-06-29,55,"y"
"54",5010344,"F","N","N",0,216000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1961-04-13,62,"n"
"55",5010397,"F","Y","Y",1,225000,"Working","Higher education","Married","House / apartment",-1591,1,1,1,0,3,0,1985-02-25,38,"y"
"56",5010412,"F","N","Y",0,202500,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1964-01-21,59,"n"
"57",5010435,"F","N","Y",0,90000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1964-12-22,58,"n"
"58",5010498,"M","Y","Y",1,202500,"Working","Secondary / secondary special","Married","House / apartment",-313,1,1,0,0,3,0,1995-11-30,27,"y"
"59",5010526,"M","Y","Y",1,450000,"Working","Higher education","Married","Office apartment",-2625,1,0,0,0,3,0,1973-04-21,50,"y"
"60",5010567,"F","Y","Y",0,121500,"Working","Higher education","Married","House / apartment",-1682,1,0,0,1,2,0,1996-02-11,27,"y"
"61",5010596,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1961-02-12,62,"n"
"62",5010683,"M","Y","Y",0,292500,"Working","Higher education","Married","House / apartment",-2231,1,0,0,0,2,0,1995-09-12,28,"y"
"63",5010707,"M","Y","N",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-5061,1,0,1,0,2,0,1980-06-17,43,"y"
"64",5010781,"F","Y","Y",1,157500,"Commercial associate","Higher education","Married","House / apartment",-2259,1,0,0,1,3,0,1984-04-05,39,"y"
"65",5010795,"F","N","N",0,45000,"State servant","Secondary / secondary special","Married","House / apartment",-5334,1,1,1,0,2,0,1985-09-20,38,"y"
"66",5010864,"M","Y","Y",1,450000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-678,1,0,1,1,3,1,1974-02-18,49,"y"
"67",5010865,"M","Y","Y",1,450000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-678,1,0,1,1,3,0,1974-02-18,49,"y"
"68",5010868,"M","Y","Y",1,450000,"Pensioner","Secondary / secondary special","Married","House / apartment",-678,1,0,1,1,3,1,1974-02-18,49,"y"
"69",5010869,"M","Y","Y",1,450000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-678,1,0,1,1,1,1,1974-02-18,49,"y"
"70",5010874,"F","N","Y",0,45000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,1,0,2,0,1967-04-01,56,"n"
"71",5010881,"F","N","Y",0,45000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,1,0,2,0,1967-04-01,56,"n"
"72",5010995,"F","N","Y",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-221,1,0,0,0,2,0,1968-12-05,54,"y"
"73",5011032,"F","N","Y",1,135000,"Working","Academic degree","Civil marriage","House / apartment",-7557,1,0,1,0,3,0,1976-01-03,47,"y"
"74",5018461,"F","N","Y",1,166500,"Working","Secondary / secondary special","Married","House / apartment",-8033,1,0,1,0,3,0,1968-07-24,55,"y"
"75",5018471,"F","N","Y",1,166500,"Working","Secondary / secondary special","Married","House / apartment",-8033,1,0,1,0,3,0,1968-07-24,55,"y"
"76",5018498,"F","Y","Y",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-1002,1,1,1,0,2,1,1972-01-03,51,"y"
"78",5018503,"F","Y","Y",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-1002,1,1,1,0,2,1,1972-01-03,51,"y"
"79",5018505,"F","N","N",0,58500,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1966-06-23,57,"n"
"80",5021214,"M","Y","Y",1,225000,"State servant","Higher education","Married","House / apartment",-2255,1,0,1,0,3,0,1988-12-11,34,"y"
"81",5021267,"F","Y","Y",1,270000,"Working","Secondary / secondary special","Married","House / apartment",-4596,1,0,0,0,3,0,1984-02-27,39,"y"
"82",5021293,"F","Y","Y",1,180000,"Commercial associate","Higher education","Married","House / apartment",-183,1,0,0,1,3,0,1991-04-22,32,"y"
"83",5021303,"M","N","N",1,472500,"Pensioner","Higher education","Married","With parents",-913,1,0,0,1,3,1,1999-07-03,24,"y"
"84",5021310,"M","N","Y",0,270000,"Working","Secondary / secondary special","Married","House / apartment",-248,1,0,0,0,2,1,1977-08-18,46,"y"
"85",5021314,"M","N","Y",0,270000,"Working","Secondary / secondary special","Single / not married","House / apartment",-248,1,0,0,0,2,1,1977-08-18,46,"y"
"86",5021373,"F","N","Y",0,247500,"Working","Higher education","Married","House / apartment",-578,1,0,0,1,2,0,1963-05-20,60,"y"
"87",5021430,"F","N","Y",0,126000,"Commercial associate","Higher education","Single / not married","House / apartment",-2470,1,0,0,0,1,1,1972-02-15,51,"y"
"88",5021431,"F","N","Y",0,126000,"Commercial associate","Higher education","Single / not married","House / apartment",-2470,1,0,0,0,1,1,1972-02-15,51,"y"
"89",5021445,"F","N","Y",0,121500,"Working","Secondary / secondary special","Married","With parents",-5204,1,1,1,0,2,0,1987-06-08,36,"y"
"90",5021490,"M","N","Y",0,135000,"Working","Secondary / secondary special","Single / not married","House / apartment",-609,1,0,1,0,1,0,1994-08-23,29,"y"
"91",5021551,"F","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-1583,1,0,0,0,2,0,1966-10-01,57,"y"
"92",5021584,"F","N","N",1,40500,"State servant","Secondary / secondary special","Married","Rented apartment",-1952,1,0,0,0,3,0,1988-02-26,35,"y"
"94",5021693,"M","Y","Y",2,337500,"Working","Incomplete higher","Married","House / apartment",-1678,1,0,1,0,4,0,1989-11-21,33,"y"
"95",5021730,"F","Y","Y",1,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-1375,1,0,0,1,3,0,1977-06-04,46,"y"
"96",5021737,"F","N","Y",0,189000,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,0,0,1,0,1966-10-13,57,"n"
"97",5021775,"F","N","Y",0,292500,"Commercial associate","Higher education","Civil marriage","House / apartment",-1552,1,0,0,0,2,0,1984-02-17,39,"y"
"98",5021790,"F","Y","Y",2,157500,"Working","Secondary / secondary special","Married","House / apartment",-6879,1,0,0,0,4,0,1982-10-06,41,"y"
"99",5021879,"M","Y","N",2,112500,"Working","Secondary / secondary special","Married","House / apartment",-217,1,0,1,0,4,0,1988-01-14,35,"y"
"100",5021967,"F","N","N",1,103500,"Working","Secondary / secondary special","Married","House / apartment",-1191,1,0,0,0,3,0,1991-10-20,32,"y"
"101",5021968,"F","N","N",1,103500,"Working","Secondary / secondary special","Married","House / apartment",-1191,1,0,0,0,3,0,1991-10-20,32,"y"
"102",5021998,"M","N","Y",0,90000,"Pensioner","Secondary / secondary special","Married","House / apartment",-1644,1,0,0,1,2,1,1972-03-30,51,"y"
"103",5022015,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Single / not married","House / apartment",-1613,1,0,0,0,1,0,1996-08-22,27,"y"
"104",5022025,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Single / not married","House / apartment",-1613,1,0,0,0,1,0,1996-08-22,27,"y"
"105",5022041,"M","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-1405,1,0,0,1,2,0,1996-05-17,27,"y"
"106",5022047,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","Office apartment",-8157,1,1,1,0,2,0,1983-01-18,40,"y"
"107",5022053,"M","N","N",0,202500,"Working","Higher education","Single / not married","House / apartment",-4327,1,0,0,0,1,1,1988-10-24,35,"y"
"108",5022063,"F","N","Y",0,180000,"Pensioner","Higher education","Married","House / apartment",365243,1,0,1,0,2,0,1968-10-05,55,"n"
"109",5022118,"M","N","Y",0,315000,"Working","Secondary / secondary special","Married","House / apartment",-1131,1,0,0,0,2,0,1969-12-28,53,"y"
"110",5022136,"F","N","Y",0,126000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1967-04-08,56,"n"
"111",5022156,"F","Y","Y",2,180000,"Commercial associate","Higher education","Married","House / apartment",-2866,1,0,1,1,4,0,1991-10-21,32,"y"
"112",5022189,"F","N","N",1,135000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-7979,1,0,0,0,2,0,1982-05-10,41,"y"
"113",5022243,"F","N","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-8375,1,0,0,1,2,0,1982-03-10,41,"y"
"114",5022275,"M","Y","Y",0,131400,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1959-02-24,64,"n"
"115",5022308,"F","N","Y",0,90000,"Working","Secondary / secondary special","Separated","House / apartment",-3319,1,0,0,0,1,0,1971-10-03,52,"y"
"116",5022326,"M","Y","Y",0,256500,"Commercial associate","Higher education","Married","House / apartment",-1674,1,0,0,1,2,0,1965-01-06,58,"y"
"117",5022343,"F","N","Y",0,67500,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,0,0,1,0,1959-07-22,64,"n"
"118",5022373,"F","N","Y",1,234000,"Working","Secondary / secondary special","Single / not married","House / apartment",-8036,1,0,0,0,2,0,1967-03-27,56,"y"
"119",5022449,"F","N","N",0,315000,"Working","Secondary / secondary special","Separated","House / apartment",-1978,1,0,0,1,1,0,1975-10-14,48,"y"
"120",5022458,"M","Y","Y",1,144000,"Working","Secondary / secondary special","Married","House / apartment",-1070,1,0,0,1,3,0,2000-01-30,23,"y"
"121",5022571,"M","Y","Y",0,202500,"Pensioner","Higher education","Married","House / apartment",365243,1,0,0,0,2,0,1964-06-02,59,"n"
"122",5022612,"M","Y","Y",1,202500,"Working","Secondary / secondary special","Married","House / apartment",-825,1,0,0,0,3,0,1996-02-12,27,"y"
"123",5022617,"M","Y","Y",0,202500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-1674,1,0,0,1,2,1,1990-12-22,32,"y"
"124",5022676,"M","N","Y",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1960-02-19,63,"n"
"125",5022730,"M","Y","N",3,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-1674,1,0,0,0,5,0,1982-02-07,41,"y"
"126",5022756,"F","N","N",1,202500,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-3166,1,0,0,0,2,0,1994-04-27,29,"y"
"127",5022761,"F","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-1344,1,0,0,1,2,0,1997-01-30,26,"y"
"128",5022789,"F","N","N",0,112500,"Working","Secondary / secondary special","Separated","House / apartment",-187,1,0,0,0,1,0,1990-01-09,33,"y"
"129",5022800,"F","Y","Y",0,202500,"Working","Higher education","Widow","House / apartment",-1497,1,0,0,0,1,0,1991-01-15,32,"y"
"130",5022803,"F","Y","Y",0,202500,"Working","Higher education","Widow","House / apartment",-1497,1,0,0,0,1,0,1991-01-15,32,"y"
"131",5022804,"F","Y","Y",0,202500,"Working","Higher education","Widow","House / apartment",-1497,1,0,0,0,1,0,1991-01-15,32,"y"
"132",5022833,"M","Y","Y",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-1617,1,0,0,0,2,0,1976-08-17,47,"y"
"133",5022918,"F","N","Y",0,225000,"Working","Higher education","Single / not married","House / apartment",-2592,1,0,1,0,1,0,1990-07-02,33,"y"
"134",5022930,"F","N","Y",0,270000,"Working","Higher education","Married","House / apartment",-187,1,0,0,1,2,0,1998-10-29,25,"y"
"135",5022954,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-521,1,1,0,0,2,0,1973-10-21,50,"y"
"136",5023059,"M","Y","Y",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-508,1,0,0,0,3,0,1993-01-03,30,"y"
"137",5023089,"F","N","N",0,202500,"Working","Secondary / secondary special","Separated","House / apartment",-4161,1,0,0,0,1,0,1977-09-15,46,"y"
"138",5023092,"F","N","N",0,202500,"Working","Secondary / secondary special","Separated","House / apartment",-4161,1,0,0,0,1,0,1977-09-15,46,"y"
"139",5023147,"F","N","N",0,112500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",365243,1,0,0,0,1,0,1966-01-09,57,"n"
"140",5023177,"F","N","Y",1,337500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-4710,1,1,1,0,3,0,1975-04-29,48,"y"
"141",5023186,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-2700,1,0,1,0,2,0,1976-09-13,47,"y"
"142",5023209,"F","N","N",1,135000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-235,1,0,0,0,3,0,1984-05-11,39,"y"
"143",5023231,"M","Y","Y",0,270000,"Working","Secondary / secondary special","Separated","House / apartment",-1362,1,0,0,0,1,0,1976-04-25,47,"y"
"144",5023261,"M","Y","Y",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-1696,1,0,0,0,2,0,1965-11-03,58,"y"
"145",5023280,"F","Y","Y",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-2457,1,0,0,0,2,0,1978-03-01,45,"y"
"146",5023389,"M","Y","Y",2,157500,"Commercial associate","Higher education","Married","House / apartment",-2092,1,0,0,0,4,0,1986-10-30,37,"y"
"147",5023410,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",365243,1,0,0,0,2,0,1964-08-20,59,"n"
"148",5023460,"F","Y","Y",0,315000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",365243,1,0,0,0,1,0,1966-05-12,57,"n"
"149",5023475,"F","Y","Y",0,315000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",365243,1,0,0,0,1,0,1966-05-12,57,"n"
"150",5023482,"F","N","Y",1,119250,"Working","Secondary / secondary special","Married","House / apartment",-4404,1,1,1,0,3,0,1980-04-09,43,"y"
"151",5023491,"M","Y","Y",0,83250,"Working","Secondary / secondary special","Married","House / apartment",-6230,1,1,1,1,2,0,1967-07-06,56,"y"
"152",5023527,"F","N","Y",0,274500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-6930,1,0,0,0,2,0,1967-11-16,56,"y"
"153",5023563,"F","N","Y",0,202500,"Working","Secondary / secondary special","Widow","House / apartment",-9975,1,0,0,0,1,0,1975-03-16,48,"y"
"154",5023587,"M","N","N",0,202500,"Working","Secondary / secondary special","Separated","House / apartment",-6352,1,0,0,0,1,0,1984-07-24,39,"y"
"155",5023616,"M","Y","Y",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-235,1,0,0,0,2,0,1975-09-29,48,"y"
"156",5023655,"F","N","N",0,225000,"Commercial associate","Incomplete higher","Single / not married","House / apartment",-1209,1,0,0,0,1,0,1995-11-19,28,"y"
"157",5023692,"F","N","Y",0,135000,"Working","Secondary / secondary special","Single / not married","House / apartment",-3339,1,0,0,0,1,0,1982-09-21,41,"y"
"158",5023706,"F","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-5622,1,0,1,0,2,0,1975-05-04,48,"y"
"159",5023719,"F","Y","Y",0,175500,"Pensioner","Higher education","Married","House / apartment",365243,1,0,1,0,2,0,1963-06-12,60,"n"
"160",5023724,"M","Y","N",1,495000,"Working","Secondary / secondary special","Married","House / apartment",-235,1,0,1,0,3,0,1995-10-18,28,"y"
"161",5023781,"M","N","Y",0,157500,"Commercial associate","Higher education","Civil marriage","House / apartment",-1086,1,0,0,0,2,1,1975-02-26,48,"y"
"162",5023816,"F","Y","Y",1,225000,"Commercial associate","Higher education","Married","House / apartment",-803,1,1,1,0,3,0,1977-05-04,46,"y"
"163",5023831,"F","N","Y",2,112500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-925,1,0,0,0,4,1,1990-08-31,33,"y"
"164",5023838,"F","Y","N",0,315000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-1077,1,0,1,0,2,0,1969-09-04,54,"y"
"165",5023877,"F","N","Y",0,360000,"Pensioner","Higher education","Married","House / apartment",365243,1,0,1,0,2,0,1960-12-16,62,"n"
"166",5023914,"F","N","Y",2,184500,"Working","Secondary / secondary special","Married","House / apartment",-1707,1,1,1,0,4,0,1996-10-01,27,"y"
"167",5023949,"M","Y","Y",1,148500,"Working","Secondary / secondary special","Married","House / apartment",-5176,1,0,0,0,3,0,1982-12-04,40,"y"
"168",5024033,"F","N","Y",2,112500,"Working","Secondary / secondary special","Married","With parents",-397,1,0,0,0,4,0,1983-11-19,40,"y"
"169",5024038,"F","N","N",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-642,1,0,0,0,2,0,1981-07-25,42,"y"
"170",5024049,"F","Y","Y",1,144000,"Working","Higher education","Married","House / apartment",-2924,1,0,0,0,3,0,1988-07-24,35,"y"
"171",5024071,"F","N","Y",0,180000,"Working","Higher education","Married","House / apartment",-854,1,0,0,0,2,1,1980-02-24,43,"y"
"172",5024077,"F","Y","Y",0,157500,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,0,0,1,0,1967-12-13,55,"n"
"173",5024096,"F","Y","N",0,126000,"State servant","Incomplete higher","Single / not married","House / apartment",-5206,1,1,0,0,1,0,1991-02-04,32,"y"
"174",5024097,"F","Y","N",0,126000,"State servant","Incomplete higher","Single / not married","House / apartment",-5206,1,1,0,0,1,0,1991-02-04,32,"y"
"176",5024148,"F","Y","N",0,180000,"Working","Higher education","Married","With parents",-1007,1,1,1,0,2,0,1992-09-24,31,"y"
"177",5024163,"M","Y","Y",3,202500,"Working","Secondary / secondary special","Married","House / apartment",-1981,1,0,0,0,5,0,1987-05-04,36,"y"
"178",5024213,"F","Y","Y",0,540000,"Commercial associate","Higher education","Married","House / apartment",-185,1,0,1,0,2,1,1980-11-24,42,"y"
"179",5024238,"F","N","Y",0,47250,"Pensioner","Secondary / secondary special","Married","Municipal apartment",365243,1,0,1,0,2,0,1965-04-05,58,"n"
"180",5024258,"M","N","Y",0,162000,"Working","Secondary / secondary special","Single / not married","House / apartment",-581,1,0,0,0,1,0,1992-06-01,31,"y"
"181",5024263,"F","Y","N",0,202500,"Commercial associate","Secondary / secondary special","Married","Municipal apartment",-1128,1,0,1,0,2,0,1965-08-21,58,"y"
"182",5024352,"M","Y","Y",0,585000,"Commercial associate","Secondary / secondary special","Married","With parents",-1646,1,0,0,0,2,0,1978-04-18,45,"y"
"183",5024386,"F","N","N",0,117000,"Working","Secondary / secondary special","Married","Municipal apartment",-1281,1,0,0,0,2,0,1986-12-11,36,"y"
"184",5024412,"M","Y","N",0,270000,"Working","Higher education","Married","House / apartment",-5084,1,0,0,0,2,0,1973-01-05,50,"y"
"185",5024527,"F","N","Y",0,270000,"Pensioner","Secondary / secondary special","Widow","House / apartment",365243,1,0,1,0,1,0,1966-06-26,57,"n"
"186",5024578,"F","N","N",1,90000,"Working","Secondary / secondary special","Married","With parents",-1462,1,0,0,0,3,0,1995-10-26,28,"y"
"187",5024582,"F","Y","Y",2,315000,"State servant","Secondary / secondary special","Married","House / apartment",-1220,1,0,0,0,4,0,1990-01-30,33,"y"
"188",5024586,"F","Y","Y",2,315000,"State servant","Secondary / secondary special","Married","House / apartment",-1220,1,0,0,0,4,0,1990-01-30,33,"y"
"189",5024592,"M","Y","Y",0,157500,"Working","Secondary / secondary special","Married","With parents",-1615,1,1,0,0,2,0,1999-07-17,24,"y"
"190",5024604,"F","N","Y",0,630000,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",365243,1,0,1,0,1,0,1963-09-15,60,"n"
"192",5024665,"F","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-4568,1,1,1,0,2,0,1984-05-24,39,"y"
"193",5024666,"F","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-4568,1,1,1,0,2,0,1984-05-24,39,"y"
"194",5024670,"F","N","Y",1,180000,"Working","Higher education","Separated","House / apartment",-1585,1,0,0,0,2,0,1982-07-06,41,"y"
"195",5024726,"M","N","Y",0,162000,"Pensioner","Higher education","Married","House / apartment",365243,1,0,1,0,2,0,1960-03-03,63,"n"
"196",5024838,"F","N","Y",0,202500,"Commercial associate","Higher education","Single / not married","House / apartment",-2072,1,0,0,0,1,0,1985-03-02,38,"y"
